depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path,min_distance,max_distance,levenshtein_distance_2,min_number_delivery_points,max_number_delivery_points,missing_in_min,missing_in_max,sequence_similarity
0521,671,20220602,060959,113-0,071419,103-103,0521_671-20220602/0521_671-20220602-060959-113-0.json,0521_671-20220602/0521_671-20220602-071419-103-103.json,0521_671-20220602/0521_671-20220602-060959-113-0.txt,0521_671-20220602/0521_671-20220602-071419-103-103.txt,24.641,24.165,41,115,105,0.0,10.0,0.7592592592592593
0521,671,20220603,061645,91-0,071311,80-80,0521_671-20220603/0521_671-20220603-061645-91-0.json,0521_671-20220603/0521_671-20220603-071311-80-80.json,0521_671-20220603/0521_671-20220603-061645-91-0.txt,0521_671-20220603/0521_671-20220603-071311-80-80.txt,23.216,24.405,71,92,82,1.0,11.0,0.5294117647058824
0521,671,20220607,061028,92-0,071028,87-87,0521_671-20220607/0521_671-20220607-061028-92-0.json,0521_671-20220607/0521_671-20220607-071028-87-87.json,0521_671-20220607/0521_671-20220607-061028-92-0.txt,0521_671-20220607/0521_671-20220607-071028-87-87.txt,23.127,25.499,46,94,89,0.0,5.0,0.6480446927374302
0521,671,20220608,062738,121-0,073927,119-119,0521_671-20220608/0521_671-20220608-062738-121-0.json,0521_671-20220608/0521_671-20220608-073927-119-119.json,0521_671-20220608/0521_671-20220608-062738-121-0.txt,0521_671-20220608/0521_671-20220608-073927-119-119.txt,24.548,26.246,55,123,121,0.0,2.0,0.7666666666666667
0521,671,20220609,064828,145-0,065644,129-129,0521_671-20220609/0521_671-20220609-064828-145-0.json,0521_671-20220609/0521_671-20220609-065644-129-129.json,0521_671-20220609/0521_671-20220609-064828-145-0.txt,0521_671-20220609/0521_671-20220609-065644-129-129.txt,26.695,26.882,82,147,131,0.0,16.0,0.6788321167883211
0521,671,20220610,063140,128-0,064211,119-119,0521_671-20220610/0521_671-20220610-063140-128-0.json,0521_671-20220610/0521_671-20220610-064211-119-119.json,0521_671-20220610/0521_671-20220610-063140-128-0.txt,0521_671-20220610/0521_671-20220610-064211-119-119.txt,27.083,26.672,57,130,121,0.0,9.0,0.7206477732793523
0521,671,20220611,065837,18-0,071534,18-18,0521_671-20220611/0521_671-20220611-065837-18-0.json,0521_671-20220611/0521_671-20220611-071534-18-18.json,0521_671-20220611/0521_671-20220611-065837-18-0.txt,0521_671-20220611/0521_671-20220611-071534-18-18.txt,18.068,19.435,4,20,20,0.0,0.0,0.8888888888888888
0521,671,20220613,065120,148-0,075948,138-138,0521_671-20220613/0521_671-20220613-065120-148-0.json,0521_671-20220613/0521_671-20220613-075948-138-138.json,0521_671-20220613/0521_671-20220613-065120-148-0.txt,0521_671-20220613/0521_671-20220613-075948-138-138.txt,29.799,32.777,143,150,140,0.0,10.0,0.21678321678321677
0521,671,20220614,062513,133-0,074145,126-126,0521_671-20220614/0521_671-20220614-062513-133-0.json,0521_671-20220614/0521_671-20220614-074145-126-126.json,0521_671-20220614/0521_671-20220614-062513-133-0.txt,0521_671-20220614/0521_671-20220614-074145-126-126.txt,24.424,26.022,43,135,128,0.0,7.0,0.8185328185328186
0521,671,20220615,064730,111-0,074749,106-106,0521_671-20220615/0521_671-20220615-064730-111-0.json,0521_671-20220615/0521_671-20220615-074749-106-106.json,0521_671-20220615/0521_671-20220615-064730-111-0.txt,0521_671-20220615/0521_671-20220615-074749-106-106.txt,26.058,25.527,87,113,108,0.0,5.0,0.43317972350230416
