depot,route,date,min,min_rest,max,max_rest,min_path,max_path,min_resp_path,max_resp_path
0521,880,20220601,053020,324-0,084623,142-142,0521_880-20220601/0521_880-20220601-053020-324-0.json,0521_880-20220601/0521_880-20220601-084623-142-142.json,0521_880-20220601/0521_880-20220601-053020-324-0.txt,0521_880-20220601/0521_880-20220601-084623-142-142.txt
0521,880,20220602,061519,286-0,083600,133-133,0521_880-20220602/0521_880-20220602-061519-286-0.json,0521_880-20220602/0521_880-20220602-083600-133-133.json,0521_880-20220602/0521_880-20220602-061519-286-0.txt,0521_880-20220602/0521_880-20220602-083600-133-133.txt
0521,880,20220603,073452,233-0,083118,94-94,0521_880-20220603/0521_880-20220603-073452-233-0.json,0521_880-20220603/0521_880-20220603-083118-94-94.json,0521_880-20220603/0521_880-20220603-073452-233-0.txt,0521_880-20220603/0521_880-20220603-083118-94-94.txt
0521,880,20220607,055453,177-0,064319,83-83,0521_880-20220607/0521_880-20220607-055453-177-0.json,0521_880-20220607/0521_880-20220607-064319-83-83.json,0521_880-20220607/0521_880-20220607-055453-177-0.txt,0521_880-20220607/0521_880-20220607-064319-83-83.txt
0521,880,20220608,052014,288-0,072256,125-125,0521_880-20220608/0521_880-20220608-052014-288-0.json,0521_880-20220608/0521_880-20220608-072256-125-125.json,0521_880-20220608/0521_880-20220608-052014-288-0.txt,0521_880-20220608/0521_880-20220608-072256-125-125.txt
0521,880,20220609,060459,220-0,065156,118-118,0521_880-20220609/0521_880-20220609-060459-220-0.json,0521_880-20220609/0521_880-20220609-065156-118-118.json,0521_880-20220609/0521_880-20220609-060459-220-0.txt,0521_880-20220609/0521_880-20220609-065156-118-118.txt
0521,880,20220610,064423,227-0,073430,102-102,0521_880-20220610/0521_880-20220610-064423-227-0.json,0521_880-20220610/0521_880-20220610-073430-102-102.json,0521_880-20220610/0521_880-20220610-064423-227-0.txt,0521_880-20220610/0521_880-20220610-073430-102-102.txt
0521,880,20220611,063920,87-0,071356,57-57,0521_880-20220611/0521_880-20220611-063920-87-0.json,0521_880-20220611/0521_880-20220611-071356-57-57.json,0521_880-20220611/0521_880-20220611-063920-87-0.txt,0521_880-20220611/0521_880-20220611-071356-57-57.txt
0521,880,20220613,061157,246-0,065713,99-99,0521_880-20220613/0521_880-20220613-061157-246-0.json,0521_880-20220613/0521_880-20220613-065713-99-99.json,0521_880-20220613/0521_880-20220613-061157-246-0.txt,0521_880-20220613/0521_880-20220613-065713-99-99.txt
0521,880,20220614,061843,317-0,072633,127-127,0521_880-20220614/0521_880-20220614-061843-317-0.json,0521_880-20220614/0521_880-20220614-072633-127-127.json,0521_880-20220614/0521_880-20220614-061843-317-0.txt,0521_880-20220614/0521_880-20220614-072633-127-127.txt
0521,880,20220615,052124,263-0,070152,119-119,0521_880-20220615/0521_880-20220615-052124-263-0.json,0521_880-20220615/0521_880-20220615-070152-119-119.json,0521_880-20220615/0521_880-20220615-052124-263-0.txt,0521_880-20220615/0521_880-20220615-070152-119-119.txt
0521,880,20220616,060056,111-0,063902,110-110,0521_880-20220616/0521_880-20220616-060056-111-0.json,0521_880-20220616/0521_880-20220616-063902-110-110.json,0521_880-20220616/0521_880-20220616-060056-111-0.txt,0521_880-20220616/0521_880-20220616-063902-110-110.txt
0521,880,20220617,055826,216-0,064031,114-114,0521_880-20220617/0521_880-20220617-055826-216-0.json,0521_880-20220617/0521_880-20220617-064031-114-114.json,0521_880-20220617/0521_880-20220617-055826-216-0.txt,0521_880-20220617/0521_880-20220617-064031-114-114.txt
0521,880,20220618,061218,46-0,063832,46-46,0521_880-20220618/0521_880-20220618-061218-46-0.json,0521_880-20220618/0521_880-20220618-063832-46-46.json,0521_880-20220618/0521_880-20220618-061218-46-0.txt,0521_880-20220618/0521_880-20220618-063832-46-46.txt
0521,880,20220620,051107,208-0,063839,99-99,0521_880-20220620/0521_880-20220620-051107-208-0.json,0521_880-20220620/0521_880-20220620-063839-99-99.json,0521_880-20220620/0521_880-20220620-051107-208-0.txt,0521_880-20220620/0521_880-20220620-063839-99-99.txt
0521,880,20220621,061317,282-0,065454,114-114,0521_880-20220621/0521_880-20220621-061317-282-0.json,0521_880-20220621/0521_880-20220621-065454-114-114.json,0521_880-20220621/0521_880-20220621-061317-282-0.txt,0521_880-20220621/0521_880-20220621-065454-114-114.txt
0521,880,20220622,060024,254-0,064619,116-116,0521_880-20220622/0521_880-20220622-060024-254-0.json,0521_880-20220622/0521_880-20220622-064619-116-116.json,0521_880-20220622/0521_880-20220622-060024-254-0.txt,0521_880-20220622/0521_880-20220622-064619-116-116.txt
0521,881,20220531,090154,134-0,092121,134-134,0521_881-20220531/0521_881-20220531-090154-134-0.json,0521_881-20220531/0521_881-20220531-092121-134-134.json,0521_881-20220531/0521_881-20220531-090154-134-0.txt,0521_881-20220531/0521_881-20220531-092121-134-134.txt
0521,881,20220601,095533,118-0,103423,118-118,0521_881-20220601/0521_881-20220601-095533-118-0.json,0521_881-20220601/0521_881-20220601-103423-118-118.json,0521_881-20220601/0521_881-20220601-095533-118-0.txt,0521_881-20220601/0521_881-20220601-103423-118-118.txt
0521,881,20220602,095337,65-0,111635,100-100,0521_881-20220602/0521_881-20220602-095337-65-0.json,0521_881-20220602/0521_881-20220602-111635-100-100.json,0521_881-20220602/0521_881-20220602-095337-65-0.txt,0521_881-20220602/0521_881-20220602-111635-100-100.txt
0521,881,20220603,094501,109-0,095255,109-109,0521_881-20220603/0521_881-20220603-094501-109-0.json,0521_881-20220603/0521_881-20220603-095255-109-109.json,0521_881-20220603/0521_881-20220603-094501-109-0.txt,0521_881-20220603/0521_881-20220603-095255-109-109.txt
0521,881,20220607,083352,84-0,085728,84-84,0521_881-20220607/0521_881-20220607-083352-84-0.json,0521_881-20220607/0521_881-20220607-085728-84-84.json,0521_881-20220607/0521_881-20220607-083352-84-0.txt,0521_881-20220607/0521_881-20220607-085728-84-84.txt
0521,881,20220610,081412,56-0,104739,58-58,0521_881-20220610/0521_881-20220610-081412-56-0.json,0521_881-20220610/0521_881-20220610-104739-58-58.json,0521_881-20220610/0521_881-20220610-081412-56-0.txt,0521_881-20220610/0521_881-20220610-104739-58-58.txt
0521,881,20220615,070733,201-0,085622,90-90,0521_881-20220615/0521_881-20220615-070733-201-0.json,0521_881-20220615/0521_881-20220615-085622-90-90.json,0521_881-20220615/0521_881-20220615-070733-201-0.txt,0521_881-20220615/0521_881-20220615-085622-90-90.txt
0521,881,20220616,073303,47-0,092529,58-58,0521_881-20220616/0521_881-20220616-073303-47-0.json,0521_881-20220616/0521_881-20220616-092529-58-58.json,0521_881-20220616/0521_881-20220616-073303-47-0.txt,0521_881-20220616/0521_881-20220616-092529-58-58.txt
0521,881,20220617,062318,110-0,080158,76-76,0521_881-20220617/0521_881-20220617-062318-110-0.json,0521_881-20220617/0521_881-20220617-080158-76-76.json,0521_881-20220617/0521_881-20220617-062318-110-0.txt,0521_881-20220617/0521_881-20220617-080158-76-76.txt
0521,881,20220620,063122,54-0,072302,53-53,0521_881-20220620/0521_881-20220620-063122-54-0.json,0521_881-20220620/0521_881-20220620-072302-53-53.json,0521_881-20220620/0521_881-20220620-063122-54-0.txt,0521_881-20220620/0521_881-20220620-072302-53-53.txt
0521,881,20220621,065106,78-0,083807,80-80,0521_881-20220621/0521_881-20220621-065106-78-0.json,0521_881-20220621/0521_881-20220621-083807-80-80.json,0521_881-20220621/0521_881-20220621-065106-78-0.txt,0521_881-20220621/0521_881-20220621-083807-80-80.txt
0521,881,20220622,073321,81-0,090419,81-81,0521_881-20220622/0521_881-20220622-073321-81-0.json,0521_881-20220622/0521_881-20220622-090419-81-81.json,0521_881-20220622/0521_881-20220622-073321-81-0.txt,0521_881-20220622/0521_881-20220622-090419-81-81.txt
0521,882,20220531,085423,177-0,101845,135-135,0521_882-20220531/0521_882-20220531-085423-177-0.json,0521_882-20220531/0521_882-20220531-101845-135-135.json,0521_882-20220531/0521_882-20220531-085423-177-0.txt,0521_882-20220531/0521_882-20220531-101845-135-135.txt
0521,882,20220601,083726,112-0,092831,108-108,0521_882-20220601/0521_882-20220601-083726-112-0.json,0521_882-20220601/0521_882-20220601-092831-108-108.json,0521_882-20220601/0521_882-20220601-083726-112-0.txt,0521_882-20220601/0521_882-20220601-092831-108-108.txt
0521,882,20220602,082323,127-0,092106,129-129,0521_882-20220602/0521_882-20220602-082323-127-0.json,0521_882-20220602/0521_882-20220602-092106-129-129.json,0521_882-20220602/0521_882-20220602-082323-127-0.txt,0521_882-20220602/0521_882-20220602-092106-129-129.txt
0521,882,20220603,082507,119-0,093007,116-116,0521_882-20220603/0521_882-20220603-082507-119-0.json,0521_882-20220603/0521_882-20220603-093007-116-116.json,0521_882-20220603/0521_882-20220603-082507-119-0.txt,0521_882-20220603/0521_882-20220603-093007-116-116.txt
0521,882,20220607,081819,119-0,090829,116-116,0521_882-20220607/0521_882-20220607-081819-119-0.json,0521_882-20220607/0521_882-20220607-090829-116-116.json,0521_882-20220607/0521_882-20220607-081819-119-0.txt,0521_882-20220607/0521_882-20220607-090829-116-116.txt
0521,882,20220608,085236,144-0,100053,124-124,0521_882-20220608/0521_882-20220608-085236-144-0.json,0521_882-20220608/0521_882-20220608-100053-124-124.json,0521_882-20220608/0521_882-20220608-085236-144-0.txt,0521_882-20220608/0521_882-20220608-100053-124-124.txt
0521,882,20220609,083937,128-0,093300,128-128,0521_882-20220609/0521_882-20220609-083937-128-0.json,0521_882-20220609/0521_882-20220609-093300-128-128.json,0521_882-20220609/0521_882-20220609-083937-128-0.txt,0521_882-20220609/0521_882-20220609-093300-128-128.txt
0521,882,20220610,092049,121-121,092342,121-121,0521_882-20220610/0521_882-20220610-092049-121-121.json,0521_882-20220610/0521_882-20220610-092342-121-121.json,0521_882-20220610/0521_882-20220610-092049-121-121.txt,0521_882-20220610/0521_882-20220610-092342-121-121.txt
0521,882,20220613,084635,128-0,085738,125-125,0521_882-20220613/0521_882-20220613-084635-128-0.json,0521_882-20220613/0521_882-20220613-085738-125-125.json,0521_882-20220613/0521_882-20220613-084635-128-0.txt,0521_882-20220613/0521_882-20220613-085738-125-125.txt
0521,882,20220614,084612,124-0,090235,122-122,0521_882-20220614/0521_882-20220614-084612-124-0.json,0521_882-20220614/0521_882-20220614-090235-122-122.json,0521_882-20220614/0521_882-20220614-084612-124-0.txt,0521_882-20220614/0521_882-20220614-090235-122-122.txt
0521,882,20220615,083845,125-0,090740,124-124,0521_882-20220615/0521_882-20220615-083845-125-0.json,0521_882-20220615/0521_882-20220615-090740-124-124.json,0521_882-20220615/0521_882-20220615-083845-125-0.txt,0521_882-20220615/0521_882-20220615-090740-124-124.txt
0521,882,20220616,083616,127-0,090945,125-125,0521_882-20220616/0521_882-20220616-083616-127-0.json,0521_882-20220616/0521_882-20220616-090945-125-125.json,0521_882-20220616/0521_882-20220616-083616-127-0.txt,0521_882-20220616/0521_882-20220616-090945-125-125.txt
0521,882,20220617,082902,114-0,084351,112-112,0521_882-20220617/0521_882-20220617-082902-114-0.json,0521_882-20220617/0521_882-20220617-084351-112-112.json,0521_882-20220617/0521_882-20220617-082902-114-0.txt,0521_882-20220617/0521_882-20220617-084351-112-112.txt
0521,882,20220620,082605,88-0,084142,85-85,0521_882-20220620/0521_882-20220620-082605-88-0.json,0521_882-20220620/0521_882-20220620-084142-85-85.json,0521_882-20220620/0521_882-20220620-082605-88-0.txt,0521_882-20220620/0521_882-20220620-084142-85-85.txt
